rsi,symbol,win_ratio,priority,Symbol,token
50,ACI,69.44%,1,ACI,12030
49,NYKAA,45.16%,1,NYKAA,6553
46,NHPC,53.73%,1,NHPC,17400
54,SUNTV,47.76%,1,SUNTV,13404
48,EXIDEIND,58.62%,1,EXIDEIND,676
49,UNIONBANK,50.70%,1,UNIONBANK,10753
55,NAUKRI,53.09%,1,NAUKRI,13751
60,NAM-INDIA,54.67%,1,NAM-INDIA,357
55,TEJASNET,39.73%,1,TEJASNET,21131
44,GODREJCP,59.15%,1,GODREJCP,10099
40,LICI,41.46%,1,LICI,9483
41,LTIM,68.09%,1,LTIM,17845
50,RVNL,61.29%,1,RVNL,9562
54,3MINDIA,51.39%,1,3MINDIA,474
63,MSUMI,73.33%,1,MSUMI,8597
64,INTELLECT,59.57%,1,INTELLECT,5926
51,JSWSTEEL,56.96%,1,JSWSTEEL,11723
72,RKFORGE,66.67%,1,RKFORGE,11411
49,UBL,56.96%,1,UBL,16713
42,360ONE,62.50%,1,360ONE,13062
51,REDINGTON,52.56%,1,REDINGTON,14257
43,CASTROLIND,58.93%,1,CASTROLIND,1250
47,CEATLTD,62.71%,1,CEATLTD,15254
53,HUDCO,49.15%,1,HUDCO,20825
52,FINCABLES,58.73%,1,FINCABLES,1038
46,IRFC,46.15%,1,IRFC,2029
47,INFY,67.74%,1,INFY,1594
45,ABFRL,61.54%,1,ABFRL,30111
51,HBLPOWER,40.48%,1,HBLPOWER,13969
73,LXCHEM,60.00%,1,LXCHEM,2841
44,ASTRAZEN,56.67%,1,ASTRAZEN,5610
46,FINPIPE,50.75%,1,FINPIPE,1041
51,BIRLACORPN,62.16%,1,BIRLACORPN,480
56,RAMCOCEM,56.72%,1,RAMCOCEM,2043
52,SBILIFE,42.11%,1,SBILIFE,21808
63,OLECTRA,54.17%,1,OLECTRA,10637
59,VTL,52.78%,1,VTL,2073
60,NSLNISP,57.69%,1,NSLNISP,14180
59,IPCALAB,54.24%,1,IPCALAB,1633
52,LTTS,58.73%,1,LTTS,18567
50,HINDPETRO,60.00%,1,HINDPETRO,1406
50,OBEROIRLTY,60.00%,1,OBEROIRLTY,20245
