rsi,symbol,sl_pct,total_trades,winning_trades,losing_trades,win_ratio,priority
56,HAPPYFORGE,0.08,19,10,9,52.63%,0
52,MANKIND,0.1,33,21,12,63.64%,0
47,ICICIPRULI,0.1,67,28,39,41.79%,0
55,SUMICHEM,0.08,81,37,44,45.68%,0
34,GAEL,0.1,22,18,4,81.82%,0
54,IGL,0.1,101,28,73,27.72%,0
51,BLUEDART,0.1,64,35,29,54.69%,0
59,MTARTECH,0.1,46,22,24,47.83%,0
50,NUVAMA,0.08,28,15,13,53.57%,0
65,HONASA,0.08,12,5,7,41.67%,0
58,BALAMINES,0.1,56,28,28,50.00%,0
40,SHREECEM,0.08,48,26,22,54.17%,0
50,MRPL,0.1,57,32,25,56.14%,0
25,CLEAN,0.08,10,8,2,80.00%,0
50,VARROC,0.1,67,31,36,46.27%,0
55,ACC,0.05,71,30,41,42.25%,0
42,SAPPHIRE,0.1,45,26,19,57.78%,0
54,WELSPUNLIV,0.1,70,29,41,41.43%,0
49,NIACL,0.08,69,30,39,43.48%,0
44,RHIM,0.1,54,28,26,51.85%,0
33,PETRONET,0.08,27,16,11,59.26%,0
51,FSL,0.08,80,34,46,42.50%,0
62,INOXWIND,0.1,49,22,27,44.90%,0
61,ATGL,0.1,45,24,21,53.33%,0
51,BIOCON,0.1,83,34,49,40.96%,0
55,SBICARD,0.08,63,32,31,50.79%,0
51,M&MFIN,0.08,28,20,8,71.43%,0
40,JUBLINGREA,0.08,40,23,17,57.50%,0
29,BANDHANBNK,0.08,22,15,7,68.18%,0
50,NAVINFLUOR,0.1,88,41,47,46.59%,0
52,INDUSTOWER,0.1,87,26,61,29.89%,0
49,SPARC,0.1,69,30,39,43.48%,0
41,FLUOROCHEM,0.1,47,24,23,51.06%,0
51,SAMMAANCAP,0.1,71,30,41,42.25%,0
51,BBTC,0.1,85,27,58,31.76%,0
44,ARE&M,0.1,66,25,41,37.88%,0
59,INDIAMART,0.1,61,29,32,47.54%,0
41,GRAPHITE,0.1,55,29,26,52.73%,0
45,IDBI,0.1,65,38,27,58.46%,0
51,PVRINOX,0.08,71,29,42,40.85%,0
27,BATAINDIA,0.08,11,7,4,63.64%,0
46,KRBL,0.1,79,21,58,26.58%,0
54,ITI,0.1,82,23,59,28.05%,0
47,KNRCON,0.08,81,35,46,43.21%,0
49,GRSE,0.1,81,34,47,41.98%,0
32,TMB,0.08,15,10,5,66.67%,0
49,EPL,0.1,94,34,60,36.17%,0
41,GODREJPROP,0.08,63,29,34,46.03%,0
61,NUVOCO,0.1,33,11,22,33.33%,0
52,AUBANK,0.1,61,25,36,40.98%,0
55,FDC,0.1,79,33,46,41.77%,0
54,KANSAINER,0.1,64,33,31,51.56%,0
47,ALOKINDS,0.1,74,30,44,40.54%,0
38,GSPL,0.1,41,22,19,53.66%,0
48,RBA,0.1,77,16,61,20.78%,0
35,SAREGAMA,0.1,31,17,14,54.84%,0
46,MANYAVAR,0.1,48,24,24,50.00%,0
51,STLTECH,0.1,78,28,50,35.90%,0
33,CAMPUS,0.1,28,14,14,50.00%,0
42,LATENTVIEW,0.1,49,25,24,51.02%,0
49,GMMPFAUDLR,0.1,86,25,61,29.07%,0
50,ZEEL,0.08,69,28,41,40.58%,0
63,HAPPSTMNDS,0.08,33,15,18,45.45%,0
36,DEVYANI,0.1,33,15,18,45.45%,0
54,FACT,0.1,78,35,43,44.87%,0
30,MEDPLUS,0.08,12,8,4,66.67%,0
27,CHEMPLASTS,0.1,10,7,3,70.00%,0
45,EASEMYTRIP,0.1,74,32,42,43.24%,0
47,CROMPTON,0.1,72,12,60,16.67%,0
40,SUNTECK,0.1,48,20,28,41.67%,0
34,METROBRAND,0.08,14,9,5,64.29%,0
44,IDEA,0.1,74,21,53,28.38%,0
45,SIGNATURE,0.05,20,13,7,65.00%,0
57,ROUTE,0.08,54,27,27,50.00%,0
51,HFCL,0.1,73,29,44,39.73%,0
50,JUBLPHARMA,0.1,61,26,35,42.62%,0
50,CREDITACC,0.1,72,20,52,27.78%,0
48,RAJESHEXPO,0.1,76,33,43,43.42%,0
52,NETWORK18,0.1,80,31,49,38.75%,0
45,VIPIND,0.1,64,30,34,46.88%,0
56,UPL,0.1,79,28,51,35.44%,0
24,PRINCEPIPE,0.05,11,7,4,63.64%,0
46,AETHER,0.08,49,22,27,44.90%,0
50,SONACOMS,0.1,63,21,42,33.33%,0
47,AWL,0.1,60,18,42,30.00%,0
53,TV18BRDCST,0.1,51,23,28,45.10%,0
46,STARHEALTH,0.05,49,21,28,42.86%,0
50,INDIGOPNTS,0.1,61,19,42,31.15%,0
51,RRKABEL,0.08,17,8,9,47.06%,0
45,TATATECH,0.05,24,9,15,37.50%,0
43,TVSSCS,0.1,33,7,26,21.21%,0
