Symbol,NAME OF COMPANY,token
HUDCO,Housing & Urban Development Corporation Limited,20825.0
ICICIBANK,ICICI Bank Limited,12458.0
ICICIGI,ICICI Lombard General Insurance Company Limited,21770.0
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,18655.0
ISEC,ICICI Securities Limited,2489.0
IDBI,IDBI Bank Limited,1476.0
IDFCFIRSTB,IDFC First Bank Limited,11184.0
IDFC,IDFC Limited,11957.0
IIFL,IIFL Finance Limited,11809.0
IRB,IRB Infrastructure Developers Limited,15316.0
IRCON,Ircon International Limited,5006.0
ITC,ITC Limited,1660.0
ITI,ITI Limited,1675.0
INDIACEM,The India Cements Limited,1515.0
INDIAMART,Indiamart Intermesh Limited,10728.0
INDIANB,Indian Bank,14311.0
IEX,Indian Energy Exchange Limited,220.0
INDHOTEL,The Indian Hotels Company Limited,1512.0
IOC,Indian Oil Corporation Limited,1624.0
IOB,Indian Overseas Bank,9348.0
IRCTC,Indian Railway Catering And Tourism Corporation Limited,13613.0
IRFC,Indian Railway Finance Corporation Limited,2029.0
INDIGOPNTS,Indigo Paints Limited,2053.0
IGL,Indraprastha Gas Limited,11262.0
INDUSTOWER,Indus Towers Limited,29135.0
INDUSINDBK,IndusInd Bank Limited,5258.0
NAUKRI,Info Edge (India) Limited,13751.0
INFY,Infosys Limited,1594.0
INOXWIND,Inox Wind Limited,7852.0
INTELLECT,Intellect Design Arena Limited,5926.0
INDIGO,InterGlobe Aviation Limited,11195.0
IPCALAB,IPCA Laboratories Limited,1633.0
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1726.0
JKCEMENT,JK Cement Limited,13270.0
JBMA,JBM Auto Limited,11655.0
JKLAKSHMI,JK Lakshmi Cement Limited,13491.0
JKPAPER,JK Paper Limited,11860.0
JMFINANCIL,JM Financial Limited,13637.0
JSWENERGY,JSW Energy Limited,17869.0
JSWINFRA,JSW Infrastructure Limited,19020.0
JSWSTEEL,JSW Steel Limited,11723.0
JAIBALAJI,Jai Balaji Industries Limited,14076.0
J&KBANK,The Jammu & Kashmir Bank Limited,5633.0
JINDALSAW,Jindal Saw Limited,3024.0
JSL,Jindal Stainless Limited,11236.0
JINDALSTEL,Jindal Steel & Power Limited,6733.0
JIOFIN,Jio Financial Services Limited,18144.0
JUBLFOOD,Jubilant Foodworks Limited,18096.0
JUBLINGREA,Jubilant Ingrevia Limited,2786.0
JUBLPHARMA,Jubilant Pharmova Limited,3637.0
JWL,Jupiter Wagons Limited,20227.0
JUSTDIAL,Just Dial Limited,29962.0
JYOTHYLAB,Jyothy Labs Limited,15149.0
KPRMILL,K.P.R. Mill Limited,14912.0
KEI,KEI Industries Limited,13314.0
KNRCON,KNR Constructions Limited,15286.0
KPITTECH,KPIT Technologies Limited,9684.0
KRBL,KRBL Limited,12550.0
KSB,Ksb Limited,1949.0
KAJARIACER,Kajaria Ceramics Limited,1808.0
KPIL,Kalpataru Projects International Limited,1814.0
KALYANKJIL,Kalyan Jewellers India Limited,2965.0
KANSAINER,Kansai Nerolac Paints Limited,1196.0
KARURVYSYA,Karur Vysya Bank Limited,1838.0
KAYNES,Kaynes Technology India Limited,12092.0
KEC,KEC International Limited,13260.0
KFINTECH,Kfin Technologies Limited,13364.0
KOTAKBANK,Kotak Mahindra Bank Limited,1922.0
KIMS,Krishna Institute of Medical Sciences Limited,4857.0
LTF,L&T Finance Limited,24951.0
LTTS,L&T Technology Services Limited,18567.0
LICHSGFIN,LIC Housing Finance Limited,1997.0
LTIM,LTIMindtree Limited,17845.0
LT,Larsen & Toubro Limited,11483.0
LATENTVIEW,Latent View Analytics Limited,6818.0
LAURUSLABS,Laurus Labs Limited,19234.0
LXCHEM,Laxmi Organic Industries Limited,2841.0
LEMONTREE,Lemon Tree Hotels Limited,2606.0
LICI,Life Insurance Corporation Of India,9483.0
LINDEINDIA,Linde India Limited,1627.0
LLOYDSME,Lloyds Metals And Energy Limited,17317.0
LUPIN,Lupin Limited,10440.0
MMTC,MMTC Limited,17957.0
MRF,MRF Limited,2277.0
MTARTECH,Mtar Technologies Limited,2718.0
LODHA,Macrotech Developers Limited,3220.0
MGL,Mahanagar Gas Limited,17534.0
MAHSEAMLES,Maharashtra Seamless Limited,2088.0
M&MFIN,Mahindra & Mahindra Financial Services Limited,20050.0
M&M,Mahindra & Mahindra Limited,2031.0
MHRIL,Mahindra Holidays & Resorts India Limited,17336.0
MAHLIFE,Mahindra Lifespace Developers Limited,8050.0
MANAPPURAM,Manappuram Finance Limited,19061.0
MRPL,Mangalore Refinery and Petrochemicals Limited,2283.0
MANKIND,Mankind Pharma Limited,15386.0
MARICO,Marico Limited,4067.0
MARUTI,Maruti Suzuki India Limited,12587.0
MASTEK,Mastek Limited,2124.0
MFSL,Max Financial Services Limited,2142.0
MAXHEALTH,Max Healthcare Institute Limited,22378.0
MAZDOCK,Mazagon Dock Shipbuilders Limited,521.0
MEDPLUS,Medplus Health Services Limited,7254.0
METROBRAND,Metro Brands Limited,7249.0
