invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99339.2,94,1056.8,1051.5159999999998,8136,2025-06-10 11:55:00+05:30,2025-06-10 13:25:00+05:30,-496.6960000000099,0.5,41
99315.7,94,1056.55,1051.2672499999999,8136,2025-06-10 12:30:00+05:30,2025-06-10 13:25:00+05:30,-496.57850000000735,0.5,41
99376.8,94,1057.2,1046.628,8138,2025-06-10 11:35:00+05:30,2025-06-10 13:35:00+05:30,-993.7680000000109,1.0,41
99339.2,94,1056.8,1046.232,8138,2025-06-10 11:55:00+05:30,2025-06-10 13:35:00+05:30,-993.3919999999985,1.0,41
99315.7,94,1056.55,1045.9845,8140,2025-06-10 12:30:00+05:30,2025-06-10 13:45:00+05:30,-993.1569999999933,1.0,41
99697.75,95,1049.45,1054.6972500000002,8150,2025-06-10 14:30:00+05:30,2025-06-10 14:35:00+05:30,498.4887500000116,0.5,41
99697.75,95,1049.45,1059.9445,8150,2025-06-10 14:30:00+05:30,2025-06-10 14:35:00+05:30,996.9775000000016,1.0,41
99697.75,95,1049.45,1065.19175,8153,2025-06-10 14:30:00+05:30,2025-06-10 14:50:00+05:30,1495.4662499999915,1.5,41
99376.8,94,1057.2,1060.1,8160,2025-06-10 11:35:00+05:30,2025-06-10 15:25:00+05:30,272.5999999999872,1.5,41
99339.2,94,1056.8,1060.1,8160,2025-06-10 11:55:00+05:30,2025-06-10 15:25:00+05:30,310.1999999999957,1.5,41
99315.7,94,1056.55,1060.1,8160,2025-06-10 12:30:00+05:30,2025-06-10 15:25:00+05:30,333.6999999999957,1.5,41
99376.8,94,1057.2,1060.1,8160,2025-06-10 11:35:00+05:30,2025-06-10 15:25:00+05:30,272.5999999999872,2.0,41
99339.2,94,1056.8,1060.1,8160,2025-06-10 11:55:00+05:30,2025-06-10 15:25:00+05:30,310.1999999999957,2.0,41
99315.7,94,1056.55,1060.1,8160,2025-06-10 12:30:00+05:30,2025-06-10 15:25:00+05:30,333.6999999999957,2.0,41
99697.75,95,1049.45,1060.1,8160,2025-06-10 14:30:00+05:30,2025-06-10 15:25:00+05:30,1011.749999999987,2.0,41
99868.04999999999,93,1073.85,1068.48075,8220,2025-06-11 14:00:00+05:30,2025-06-11 14:10:00+05:30,-499.3402499999968,0.5,41
99143.8,92,1077.65,1083.03825,8229,2025-06-11 14:20:00+05:30,2025-06-11 14:55:00+05:30,495.7189999999973,0.5,41
99868.04999999999,93,1073.85,1084.5884999999998,8230,2025-06-11 14:00:00+05:30,2025-06-11 15:00:00+05:30,998.6804999999936,1.0,41
99143.8,92,1077.65,1088.4265,8230,2025-06-11 14:20:00+05:30,2025-06-11 15:00:00+05:30,991.4379999999946,1.0,41
99868.04999999999,93,1073.85,1089.95775,8231,2025-06-11 14:00:00+05:30,2025-06-11 15:05:00+05:30,1498.0207500000115,1.5,41
99143.8,92,1077.65,1090.0,8235,2025-06-11 14:20:00+05:30,2025-06-11 15:25:00+05:30,1136.1999999999916,1.5,41
99868.04999999999,93,1073.85,1090.0,8235,2025-06-11 14:00:00+05:30,2025-06-11 15:25:00+05:30,1501.9500000000085,2.0,41
99143.8,92,1077.65,1090.0,8235,2025-06-11 14:20:00+05:30,2025-06-11 15:25:00+05:30,1136.1999999999916,2.0,41
99736.0,91,1096.0,1090.52,8293,2025-06-12 13:55:00+05:30,2025-06-12 14:00:00+05:30,-498.68000000000166,0.5,41
99736.0,91,1096.0,1085.04,8306,2025-06-12 13:55:00+05:30,2025-06-12 15:05:00+05:30,-997.3600000000033,1.0,41
99736.0,91,1096.0,1079.56,8307,2025-06-12 13:55:00+05:30,2025-06-12 15:10:00+05:30,-1496.040000000005,1.5,41
99736.0,91,1096.0,1074.08,8307,2025-06-12 13:55:00+05:30,2025-06-12 15:10:00+05:30,-1994.7200000000066,2.0,41
99718.8,92,1083.9,1078.4805000000001,8309,2025-06-12 15:15:00+05:30,2025-06-12 15:20:00+05:30,-498.5939999999973,0.5,41
99718.8,92,1083.9,1075.1,8310,2025-06-12 15:15:00+05:30,2025-06-12 15:25:00+05:30,-809.6000000000167,1.0,41
99718.8,92,1083.9,1075.1,8310,2025-06-12 15:15:00+05:30,2025-06-12 15:25:00+05:30,-809.6000000000167,1.5,41
99718.8,92,1083.9,1075.1,8310,2025-06-12 15:15:00+05:30,2025-06-12 15:25:00+05:30,-809.6000000000167,2.0,41
99975.0,93,1075.0,1069.625,8318,2025-06-13 09:40:00+05:30,2025-06-13 09:50:00+05:30,-499.875,0.5,41
98982.8,92,1075.9,1081.2795,8319,2025-06-13 09:50:00+05:30,2025-06-13 09:55:00+05:30,494.91400000000067,0.5,41
99975.0,93,1075.0,1085.75,8319,2025-06-13 09:40:00+05:30,2025-06-13 09:55:00+05:30,999.75,1.0,41
98982.8,92,1075.9,1086.659,8319,2025-06-13 09:50:00+05:30,2025-06-13 09:55:00+05:30,989.8280000000013,1.0,41
99975.0,93,1075.0,1091.125,8319,2025-06-13 09:40:00+05:30,2025-06-13 09:55:00+05:30,1499.625,1.5,41
98982.8,92,1075.9,1092.0385,8319,2025-06-13 09:50:00+05:30,2025-06-13 09:55:00+05:30,1484.742000000002,1.5,41
99975.0,93,1075.0,1096.5,8325,2025-06-13 09:40:00+05:30,2025-06-13 10:25:00+05:30,1999.5,2.0,41
98982.8,92,1075.9,1097.4180000000001,8325,2025-06-13 09:50:00+05:30,2025-06-13 10:25:00+05:30,1979.6560000000027,2.0,41
99286.0,88,1128.25,1133.89125,8400,2025-06-16 09:50:00+05:30,2025-06-16 10:25:00+05:30,496.4299999999912,0.5,41
99286.0,88,1128.25,1139.5325,8406,2025-06-16 09:50:00+05:30,2025-06-16 10:55:00+05:30,992.8600000000024,1.0,41
99286.0,88,1128.25,1145.17375,8406,2025-06-16 09:50:00+05:30,2025-06-16 10:55:00+05:30,1489.2899999999936,1.5,41
99286.0,88,1128.25,1150.815,8406,2025-06-16 09:50:00+05:30,2025-06-16 10:55:00+05:30,1985.7200000000048,2.0,41
99514.90000000001,86,1157.15,1162.93575,8464,2025-06-17 09:25:00+05:30,2025-06-17 09:30:00+05:30,497.5745000000006,0.5,41
