invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99987.8,1034,96.7,96.24,2460,2025-02-14 14:25:00+05:30,2025-02-14 15:25:00+05:30,-475.64000000000823,1,49
99982.09999999999,1030,97.07,98.0407,2462,2025-02-17 09:15:00+05:30,2025-02-17 09:20:00+05:30,999.8210000000081,1,49
99962.88,1024,97.62,98.59620000000001,2477,2025-02-17 10:20:00+05:30,2025-02-17 10:35:00+05:30,999.6288000000059,1,49
99973.0,1028,97.25,96.2775,2509,2025-02-17 12:45:00+05:30,2025-02-17 13:15:00+05:30,-999.7299999999965,1,49
99915.9,1029,97.1,97.03,2535,2025-02-17 13:40:00+05:30,2025-02-17 15:25:00+05:30,-72.02999999999298,1,49
99970.65000000001,1035,96.59,97.03,2535,2025-02-17 15:00:00+05:30,2025-02-17 15:25:00+05:30,455.39999999999765,1,49
99923.14,1019,98.06,97.0794,2577,2025-02-18 11:15:00+05:30,2025-02-18 12:40:00+05:30,-999.2313999999953,1,49
99945.69,1021,97.89,96.9111,2577,2025-02-18 11:55:00+05:30,2025-02-18 12:40:00+05:30,-999.4568999999958,1,49
99972.04,1022,97.82,96.84179999999998,2577,2025-02-18 12:10:00+05:30,2025-02-18 12:40:00+05:30,-999.7204000000156,1,49
99952.44,1028,97.23,98.2023,2590,2025-02-18 13:40:00+05:30,2025-02-18 13:45:00+05:30,999.5243999999897,1,49
99929.4,1010,98.94,99.9294,2617,2025-02-19 09:15:00+05:30,2025-02-19 09:45:00+05:30,999.2940000000034,1,49
99939.84,1001,99.84,98.8416,2652,2025-02-19 11:20:00+05:30,2025-02-19 12:40:00+05:30,-999.3984000000037,1,49
99953.28,1008,99.16,98.8,2685,2025-02-19 14:10:00+05:30,2025-02-19 15:25:00+05:30,-362.8799999999994,1,49
99951.54000000001,1009,99.06,98.8,2685,2025-02-19 14:45:00+05:30,2025-02-19 15:25:00+05:30,-262.34000000000515,1,49
99934.68,1007,99.24,100.2324,2726,2025-02-20 09:15:00+05:30,2025-02-20 12:35:00+05:30,999.3468000000036,1,49
99947.25,1005,99.45,100.4445,2755,2025-02-20 10:45:00+05:30,2025-02-20 15:00:00+05:30,999.4725000000021,1,49
99957.29999999999,1005,99.46,100.45459999999999,2755,2025-02-20 11:00:00+05:30,2025-02-20 15:00:00+05:30,999.5729999999912,1,49
99989.89,1001,99.89,100.88889999999999,2759,2025-02-20 14:45:00+05:30,2025-02-20 15:20:00+05:30,999.898899999992,1,49
99959.94,999,100.06,100.26,2760,2025-02-20 13:45:00+05:30,2025-02-20 15:25:00+05:30,199.80000000000285,1,49
99984.28,1019,98.12,97.51,2835,2025-02-21 15:00:00+05:30,2025-02-21 15:25:00+05:30,-621.5899999999995,1,49
99960.93000000001,1017,98.29,97.51,2835,2025-02-21 15:10:00+05:30,2025-02-21 15:25:00+05:30,-793.2600000000011,1,49
99969.84000000001,1032,96.87,95.9,2910,2025-02-24 11:40:00+05:30,2025-02-24 15:25:00+05:30,-1001.0399999999988,1,49
99932.42,1033,96.74,95.9,2910,2025-02-24 12:25:00+05:30,2025-02-24 15:25:00+05:30,-867.7199999999889,1,49
99942.75,1033,96.75,95.9,2910,2025-02-24 12:45:00+05:30,2025-02-24 15:25:00+05:30,-878.0499999999942,1,49
99953.08,1033,96.76,95.9,2910,2025-02-24 13:30:00+05:30,2025-02-24 15:25:00+05:30,-888.3799999999994,1,49
99973.74,1033,96.78,95.9,2910,2025-02-24 14:45:00+05:30,2025-02-24 15:25:00+05:30,-909.0399999999953,1,49
99977.5,1015,98.5,99.485,2920,2025-02-25 09:15:00+05:30,2025-02-25 10:00:00+05:30,999.7749999999994,1,49
99902.88,1008,99.11,100.0,2985,2025-02-25 12:45:00+05:30,2025-02-25 15:25:00+05:30,897.1200000000006,1,49
99917.1,1005,99.42,98.4258,3010,2025-02-27 10:05:00+05:30,2025-02-27 11:15:00+05:30,-999.1710000000064,1,49
99947.64,1027,97.32,97.08,3060,2025-02-27 14:15:00+05:30,2025-02-27 15:25:00+05:30,-246.47999999999473,1,49
